forecast_date,target,target_end_date,location,type,quantile,value
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.1,17
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.15,18
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.2,18
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.25,19
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.3,19
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.35,20
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.65,22
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.025,16
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.05,16
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.01,15
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.4,20
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.45,20
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.5,21
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.55,21
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.6,21
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.7,22
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.75,23
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.9,25
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.95,26
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.975,27
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.8,23
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.85,24
2024-09-23,0 wk ahead inc case,2024-09-21,AT,quantile,0.99,29
2024-09-23,3 wk ahead inc case,2024-10-12,BE,quantile,0.15,1291
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.95,1535
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.9,1498
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.1,1267
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.85,1475
2024-09-23,3 wk ahead inc case,2024-10-12,BE,quantile,0.99,1873
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.8,1456
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.99,1605
2024-09-23,3 wk ahead inc case,2024-10-12,BE,quantile,0.1,1255
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.05,1237
2024-09-23,3 wk ahead inc case,2024-10-12,BE,quantile,0.25,1346
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.01,1185
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.025,1213
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.975,1566
2024-09-23,3 wk ahead inc case,2024-10-12,BE,quantile,0.2,1320
2024-09-23,3 wk ahead inc case,2024-10-12,BE,quantile,0.3,1369
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.15,1288
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.75,1440
2024-09-23,3 wk ahead inc case,2024-10-12,BE,quantile,0.05,1205
2024-09-23,3 wk ahead inc case,2024-10-12,BE,quantile,0.95,1743
2024-09-23,3 wk ahead inc case,2024-10-12,BE,quantile,0.975,1805
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.7,1425
2024-09-23,2 wk ahead inc case,2024-10-05,BE,quantile,0.55,1470
2024-09-23,3 wk ahead inc case,2024-10-12,BE,quantile,0.025,1165
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.6,1401
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.65,1413
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.2,1305
2024-09-23,1 wk ahead inc case,2024-09-28,BE,quantile,0.6,1454
2024-09-23,3 wk ahead inc case,2024-10-12,BE,quantile,0.9,1674
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.55,1390
2024-09-23,1 wk ahead inc case,2024-09-28,BE,quantile,0.65,1471
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.35,1344
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.4,1356
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.45,1367
2024-09-23,0 wk ahead inc case,2024-09-21,BE,quantile,0.5,1379
2024-09-23,3 wk ahead inc case,2024-10-12,BE,quantile,0.01,1122
2024-09-23,2 wk ahead inc case,2024-10-05,BE,quantile,0.6,1490
2024-09-23,2 wk ahead inc case,2024-10-05,BE,quantile,0.65,1510
2024-09-23,2 wk ahead inc case,2024-10-05,BE,quantile,0.7,1533
2024-09-23,1 wk ahead inc case,2024-09-28,BE,quantile,0.7,1488
2024-09-23,1 wk ahead inc case,2024-09-28,BE,quantile,0.975,1681
2024-09-23,3 wk ahead inc case,2024-10-12,BE,quantile,0.35,1392
