forecast_date,target,target_end_date,location,type,quantile,value
2024-09-23,0 wk ahead inc death,2024-09-21,BG,quantile,0.9,8
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.25,6
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.2,6
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.4,6
2024-09-23,0 wk ahead inc death,2024-09-21,BG,quantile,0.85,7
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.55,7
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.1,6
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.15,6
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.5,7
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.45,6
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.35,6
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.8,7
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.85,7
2024-09-23,0 wk ahead inc death,2024-09-21,BG,quantile,0.99,8
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.3,6
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.7,7
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.9,7
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.75,7
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.05,6
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.6,7
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.65,7
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.975,7
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.99,7
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.95,7
2024-09-23,0 wk ahead inc death,2024-09-21,BG,quantile,0.95,8
2024-09-23,0 wk ahead inc death,2024-09-21,BG,quantile,0.975,8
2024-09-23,0 wk ahead inc death,2024-09-21,BG,quantile,0.8,7
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.01,6
2024-09-23,0 wk ahead inc death,2024-09-21,BG,quantile,0.025,6
2024-09-23,0 wk ahead inc death,2024-09-21,BG,quantile,0.1,6
2024-09-23,1 wk ahead inc death,2024-09-28,BG,quantile,0.8,5
2024-09-23,0 wk ahead inc death,2024-09-21,BG,quantile,0.15,6
2024-09-23,3 wk ahead inc death,2024-10-12,BG,quantile,0.025,6
2024-09-23,0 wk ahead inc death,2024-09-21,BG,quantile,0.01,6
