forecast_date,target,target_end_date,location,type,quantile,value
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.25,621
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.2,597
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.3,646
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.1,534
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.05,488
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.025,448
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.35,668
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.4,691
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.01,411
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.15,567
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.45,715
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.5,738
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.55,763
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.01,108
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.6,788
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.65,812
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.7,842
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.75,875
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.85,955
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.8,913
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.9,1016
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.95,1114
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.025,148
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.975,1201
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,quantile,0.99,1307
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.1,267
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.15,333
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.2,397
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.05,194
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.25,460
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.3,650
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.55,665
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.6,668
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.99,2891
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.15,638
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.25,647
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.45,659
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.5,662
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.3,524
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.1,633
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.2,643
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.4,656
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.8,682
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.975,2353
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.9,1639
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.05,625
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.35,653
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.65,672
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.7,675
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.75,678
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.3,614
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.35,665
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.6,935
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.95,1984
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.85,1434
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.35,585
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.4,654
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.45,735
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.5,818
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.55,910
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.6,1026
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.65,1152
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.7,1296
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.75,1466
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.01,610
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.4,714
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.025,618
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.75,1182
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.8,1291
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.65,1005
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.25,564
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.5,817
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.55,873
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.7,1094
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.85,687
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.9,693
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.99,6436
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.95,701
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.975,711
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,quantile,0.99,719
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.45,765
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.8,1702
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.85,2010
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.9,2481
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.95,3417
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,quantile,0.975,4588
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.2,513
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.05,333
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.025,278
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.15,465
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.1,409
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,quantile,0.01,231
2024-09-23,1 wk ahead inc hosp,2024-09-28,GR,point,NA,738
2024-09-23,0 wk ahead inc hosp,2024-09-21,GR,point,NA,662
2024-09-23,3 wk ahead inc hosp,2024-10-12,GR,point,NA,818
2024-09-23,2 wk ahead inc hosp,2024-10-05,GR,point,NA,817
