"forecast_date","target","target_end_date","location","type","quantile","value"
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","point",NA,43
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.01,0
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.025,0
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.05,0
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.1,0
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.15,0
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.2,0
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.25,0
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.3,0
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.35,0
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.4,0
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.45,0
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.5,0
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.55,1112
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.6,2384
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.65,3583
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.7,4951
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.75,6459
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.8,8076
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.85,9887
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.9,12232
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.95,15491
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.975,18452
2024-09-23,"0 wk ahead inc case",2024-09-21,"AT","quantile",0.99,22611
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","point",NA,53
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.01,0
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.025,0
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.05,0
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.1,0
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.15,0
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.2,0
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.25,0
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.3,0
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.35,0
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.4,0
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.45,0
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.5,0
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.55,2593
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.6,5116
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.65,7917
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.7,11048
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.75,14256
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.8,17450
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.85,21575
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.9,26570
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.95,34055
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.975,41256
2024-09-23,"1 wk ahead inc case",2024-09-28,"AT","quantile",0.99,49395
2024-09-23,"2 wk ahead inc case",2024-10-05,"AT","point",NA,54
2024-09-23,"2 wk ahead inc case",2024-10-05,"AT","quantile",0.01,0
2024-09-23,"2 wk ahead inc case",2024-10-05,"AT","quantile",0.025,0
2024-09-23,"2 wk ahead inc case",2024-10-05,"AT","quantile",0.05,0
2024-09-23,"2 wk ahead inc case",2024-10-05,"AT","quantile",0.1,0
