"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2024-10-30,"hospital admissions",2024-10-27,1,"CY","median","",18
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.01",0
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.025",0
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.05",0
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.1",0
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.15",0
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.2",2
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.25",5
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.3",8
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.35",11
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.4",13
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.45",16
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.5",18
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.55",20
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.6",23
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.65",25
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.7",28
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.75",30
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.8",34
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.85",37
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.9",42
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.95",49
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.975",54
2024-10-30,"hospital admissions",2024-10-27,1,"CY","quantile","0.99",60
2024-10-30,"hospital admissions",2024-11-03,2,"CY","median","",20
2024-10-30,"hospital admissions",2024-11-03,2,"CY","quantile","0.01",0
2024-10-30,"hospital admissions",2024-11-03,2,"CY","quantile","0.025",0
2024-10-30,"hospital admissions",2024-11-03,2,"CY","quantile","0.05",0
2024-10-30,"hospital admissions",2024-11-03,2,"CY","quantile","0.1",0
2024-10-30,"hospital admissions",2024-11-03,2,"CY","quantile","0.15",0
2024-10-30,"hospital admissions",2024-11-03,2,"CY","quantile","0.2",0
2024-10-30,"hospital admissions",2024-11-03,2,"CY","quantile","0.25",0
2024-10-30,"hospital admissions",2024-11-03,2,"CY","quantile","0.3",5
2024-10-30,"hospital admissions",2024-11-03,2,"CY","quantile","0.35",9
2024-10-30,"hospital admissions",2024-11-03,2,"CY","quantile","0.4",13
2024-10-30,"hospital admissions",2024-11-03,2,"CY","quantile","0.45",18
2024-10-30,"hospital admissions",2024-11-03,2,"CY","quantile","0.5",21
2024-10-30,"hospital admissions",2024-11-03,2,"CY","quantile","0.55",25
2024-10-30,"hospital admissions",2024-11-03,2,"CY","quantile","0.6",29
