"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2025-05-21,"hospital admissions",2025-05-18,1,"GR","median","",60
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.01",0
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.025",0
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.05",0
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.1",0
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.15",0
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.2",0
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.25",0
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.3",0
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.35",0
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.4",12
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.45",36
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.5",59
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.55",83
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.6",105
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.65",129
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.7",155
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.75",183
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.8",212
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.85",250
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.9",294
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.95",366
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.975",426
2025-05-21,"hospital admissions",2025-05-18,1,"GR","quantile","0.99",499
2025-05-21,"hospital admissions",2025-05-25,2,"GR","median","",85
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.01",0
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.025",0
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.05",0
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.1",0
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.15",0
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.2",0
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.25",0
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.3",0
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.35",0
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.4",0
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.45",42
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.5",83
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.55",128
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.6",170
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.65",216
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.7",264
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.75",316
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.8",375
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.85",448
2025-05-21,"hospital admissions",2025-05-25,2,"GR","quantile","0.9",532
