"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2025-12-17,"hospital admissions",2025-12-14,1,"EE","median","",2
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.01",0
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.025",0
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.05",0
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.1",0
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.15",0
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.2",0
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.25",1
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.3",1
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.35",1
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.4",2
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.45",2
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.5",2
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.55",3
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.6",3
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.65",4
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.7",5
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.75",6
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.8",7
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.85",8
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.9",10
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.95",13
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.975",15
2025-12-17,"hospital admissions",2025-12-14,1,"EE","quantile","0.99",19
2025-12-17,"hospital admissions",2025-12-21,2,"EE","median","",2
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.01",0
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.025",0
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.05",0
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.1",0
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.15",0
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.2",0
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.25",1
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.3",1
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.35",1
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.4",2
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.45",2
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.5",3
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.55",3
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.6",4
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.65",5
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.7",6
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.75",7
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.8",8
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.85",10
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.9",13
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.95",17
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.975",22
2025-12-17,"hospital admissions",2025-12-21,2,"EE","quantile","0.99",28
