origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.975,289
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.75,133
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.3,65
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.95,233
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.7,121
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.5,89
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.65,111
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.45,83
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.8,146
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.1,42
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.9,189
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.6,103
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.15,48
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.55,96
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.25,59
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.85,164
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.2,54
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.4,77
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.05,34
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.35,71
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.01,23
2026-01-07,hospital admissions,2026-01-11,2,CZ,quantile,0.7,132
2026-01-07,hospital admissions,2026-01-11,2,CZ,quantile,0.75,146
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.025,28
2026-01-07,hospital admissions,2026-01-04,1,CZ,quantile,0.99,347
2026-01-07,hospital admissions,2026-01-11,2,CZ,quantile,0.3,67
2026-01-07,hospital admissions,2026-01-11,2,CZ,quantile,0.8,162
