"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2026-06-10,"hospital admissions",2026-06-07,1,"IE","median","",2
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.01",0
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.025",0
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.05",0
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.1",0
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.15",0
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.2",0
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.25",1
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.3",1
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.35",1
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.4",2
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.45",2
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.5",3
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.55",4
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.6",5
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.65",6
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.7",7
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.75",9
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.8",11
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.85",13
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.9",17
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.95",24
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.975",31
2026-06-10,"hospital admissions",2026-06-07,1,"IE","quantile","0.99",43
2026-06-10,"hospital admissions",2026-06-14,2,"IE","median","",1
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.01",0
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.025",0
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.05",0
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.1",0
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.15",0
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.2",1
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.25",1
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.3",2
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.35",2
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.4",3
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.45",4
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.5",5
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.55",6
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.6",8
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.65",9
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.7",11
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.75",14
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.8",18
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.85",22
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.9",29
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.95",41
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.975",54
2026-06-10,"hospital admissions",2026-06-14,2,"IE","quantile","0.99",70
2026-06-10,"hospital admissions",2026-06-21,3,"IE","median","",1
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.01",0
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.025",0
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.05",0
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.1",0
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.15",1
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.2",1
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.25",2
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.3",2
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.35",3
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.4",4
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.45",6
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.5",7
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.55",9
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.6",11
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.65",14
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.7",17
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.75",21
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.8",25
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.85",32
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.9",43
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.95",63
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.975",82
2026-06-10,"hospital admissions",2026-06-21,3,"IE","quantile","0.99",108
2026-06-10,"hospital admissions",2026-06-28,4,"IE","median","",2
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.01",0
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.025",0
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.05",0
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.1",0
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.15",1
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.2",1
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.25",2
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.3",3
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.35",5
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.4",6
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.45",8
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.5",11
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.55",13
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.6",16
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.65",20
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.7",25
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.75",30
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.8",37
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.85",46
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.9",62
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.95",89
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.975",114
2026-06-10,"hospital admissions",2026-06-28,4,"IE","quantile","0.99",145
2026-06-10,"hospital admissions",2026-06-07,1,"LT","median","",2
2026-06-10,"hospital admissions",2026-06-07,1,"LT","quantile","0.01",0
2026-06-10,"hospital admissions",2026-06-07,1,"LT","quantile","0.025",0
2026-06-10,"hospital admissions",2026-06-07,1,"LT","quantile","0.05",1
2026-06-10,"hospital admissions",2026-06-07,1,"LT","quantile","0.1",3
2026-06-10,"hospital admissions",2026-06-07,1,"LT","quantile","0.15",6
2026-06-10,"hospital admissions",2026-06-07,1,"LT","quantile","0.2",10
2026-06-10,"hospital admissions",2026-06-07,1,"LT","quantile","0.25",16
2026-06-10,"hospital admissions",2026-06-07,1,"LT","quantile","0.3",24
2026-06-10,"hospital admissions",2026-06-07,1,"LT","quantile","0.35",32
2026-06-10,"hospital admissions",2026-06-07,1,"LT","quantile","0.4",43
2026-06-10,"hospital admissions",2026-06-07,1,"LT","quantile","0.45",55
2026-06-10,"hospital admissions",2026-06-07,1,"LT","quantile","0.5",69
2026-06-10,"hospital admissions",2026-06-07,1,"LT","quantile","0.55",86
2026-06-10,"hospital admissions",2026-06-07,1,"LT","quantile","0.6",106
2026-06-10,"hospital admissions",2026-06-07,1,"LT","quantile","0.65",130
2026-06-10,"hospital admissions",2026-06-07,1,"LT","quantile","0.7",161
2026-06-10,"hospital admissions",2026-06-07,1,"LT","quantile","0.75",196
