origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.975,9
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.99,12
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.8,4
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.85,5
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.75,4
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.9,5
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.9,6
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.95,8
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.6,3
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.85,4
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.65,3
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.7,4
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.975,8
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.95,6
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.99,10
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.01,0
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.45,2
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.5,2
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.75,4
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.55,3
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.35,2
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.8,5
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.2,1
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.3,2
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.4,2
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.25,1
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.15,1
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.025,0
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.1,1
2026-08-12,hospital admissions,2026-08-16,2,CZ,quantile,0.05,1
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.5,2
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.55,3
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.6,3
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.65,3
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.15,1
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.2,1
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.25,1
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.3,2
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.35,2
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.4,2
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.45,2
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.7,3
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.05,1
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.01,0
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.025,0
2026-08-12,hospital admissions,2026-08-09,1,CZ,quantile,0.1,1
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.9,7
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.25,6
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.2,6
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.3,6
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.95,8
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.7,7
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.1,6
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.75,7
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.3,6
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.01,5
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.05,5
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.15,6
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.025,5
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.1,5
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.15,6
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.65,7
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.025,5
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.8,7
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.2,6
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.25,6
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.85,7
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.6,7
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.05,5
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.55,6
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.5,6
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.975,8
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.45,6
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.99,8
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.35,6
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.65,7
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.4,6
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.5,6
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.6,7
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.7,7
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.75,7
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.8,7
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.35,6
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.55,6
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.4,6
2026-08-12,hospital admissions,2026-08-30,4,GR,quantile,0.01,5
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.45,6
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.85,7
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.9,7
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.95,8
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.975,8
2026-08-12,hospital admissions,2026-08-23,3,GR,quantile,0.99,9
2026-08-12,hospital admissions,2026-08-16,2,GR,quantile,0.1,6
2026-08-12,hospital admissions,2026-08-16,2,GR,quantile,0.15,6
2026-08-12,hospital admissions,2026-08-16,2,GR,quantile,0.2,7
2026-08-12,hospital admissions,2026-08-16,2,GR,quantile,0.25,7
2026-08-12,hospital admissions,2026-08-16,2,GR,quantile,0.3,7
2026-08-12,hospital admissions,2026-08-16,2,GR,quantile,0.35,7
2026-08-12,hospital admissions,2026-08-16,2,GR,quantile,0.4,7
2026-08-12,hospital admissions,2026-08-16,2,GR,quantile,0.45,7
2026-08-12,hospital admissions,2026-08-16,2,GR,quantile,0.5,7
2026-08-12,hospital admissions,2026-08-09,1,GR,quantile,0.95,9
2026-08-12,hospital admissions,2026-08-09,1,GR,quantile,0.975,9
