"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2024-09-25,"ILI incidence",2024-09-22,1,"BE","median","",81.2071973062473
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.01",0
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.025",0
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.05",0
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.1",0
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.15",4.29834115052194
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.2",18.1917605728716
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.25",30.8294879122927
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.3",41.9180242121515
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.35",52.5860534268765
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.4",62.0885057320956
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.45",71.6201676524663
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.5",81.708001724213
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.55",91.3833391133522
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.6",100.911687946082
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.65",110.445535593311
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.7",120.297483551533
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.75",131.983428840485
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.8",144.232618295272
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.85",158.691258047108
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.9",178.334002863011
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.95",204.858537375222
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.975",229.04530860849
2024-09-25,"ILI incidence",2024-09-22,1,"BE","quantile","0.99",255.40995500249
2024-09-25,"ILI incidence",2024-09-29,2,"BE","median","",79.5876682439611
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.01",0
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.025",0
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.05",0
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.1",0
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.15",0
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.2",0
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.25",0
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.3",14.7200696460761
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.35",32.7418178122029
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.4",49.4468177039207
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.45",66.210763463508
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.5",81.3523502587595
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.55",97.9273610909313
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.6",114.23928918772
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.65",129.922366771175
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.7",146.804358011269
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.75",164.857905867637
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.8",185.562570612946
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.85",209.710440923854
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.9",239.999860280208
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.95",284.566443435582
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.975",329.010179199857
2024-09-25,"ILI incidence",2024-09-29,2,"BE","quantile","0.99",375.300543645751
2024-09-25,"ILI incidence",2024-10-06,3,"BE","median","",75.1820199033773
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.01",0
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.025",0
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.05",0
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.1",0
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.15",0
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.2",0
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.25",0
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.3",0
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.35",13.2841888730054
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.4",35.4338838878014
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.45",57.631218593897
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.5",78.5883916736316
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.55",98.8273128895486
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.6",119.93238802542
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.65",143.027673264603
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.7",166.783739595284
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.75",191.073005080444
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.8",219.339905668298
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.85",251.765796006775
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.9",294.203578133635
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.95",354.26815489531
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.975",415.666653686115
2024-09-25,"ILI incidence",2024-10-06,3,"BE","quantile","0.99",470.723109259491
2024-09-25,"ILI incidence",2024-10-13,4,"BE","median","",73.8102241878613
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.01",0
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.025",0
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.05",0
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.1",0
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.15",0
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.2",0
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.25",0
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.3",0
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.35",0.263387685008389
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.4",27.3920357370352
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.45",52.9039962587262
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.5",77.7734186505417
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.55",101.75617433402
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.6",126.361283302219
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.65",155.04240645835
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.7",181.825049912114
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.75",212.735515545737
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.8",246.892614806518
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.85",287.018791018499
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.9",335.39922851457
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.95",409.831785252883
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.975",473.138534965507
2024-09-25,"ILI incidence",2024-10-13,4,"BE","quantile","0.99",541.979002237388
2024-09-25,"ILI incidence",2024-09-22,1,"CH","median","",27.6019271139074
2024-09-25,"ILI incidence",2024-09-22,1,"CH","quantile","0.01",17.987371031929
2024-09-25,"ILI incidence",2024-09-22,1,"CH","quantile","0.025",19.4329537573278
2024-09-25,"ILI incidence",2024-09-22,1,"CH","quantile","0.05",20.8524763188311
2024-09-25,"ILI incidence",2024-09-22,1,"CH","quantile","0.1",22.3973279544934
2024-09-25,"ILI incidence",2024-09-22,1,"CH","quantile","0.15",23.3890039690837
2024-09-25,"ILI incidence",2024-09-22,1,"CH","quantile","0.2",24.2115701044077
2024-09-25,"ILI incidence",2024-09-22,1,"CH","quantile","0.25",24.8447593676693
2024-09-25,"ILI incidence",2024-09-22,1,"CH","quantile","0.3",25.4452380611027
2024-09-25,"ILI incidence",2024-09-22,1,"CH","quantile","0.35",25.989763350078
