origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.65,86.39882594437695
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.6,84.32435296139889
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.55,82.34800842488285
2024-09-25,ILI incidence,2024-09-22,1,BE,quantile,0.01,62.240266692116975
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.7,88.63667901585922
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.75,91.02528207766835
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.5,80.62054023084727
2024-09-25,ILI incidence,2024-09-22,1,BE,quantile,0.65,81.14195248993227
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.3,73.83231313885446
2024-09-25,ILI incidence,2024-09-22,1,BE,quantile,0.7,82.33531761355718
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.45,79.02785498107332
2024-09-25,ILI incidence,2024-09-22,1,BE,quantile,0.6,80.05562822392064
2024-09-25,ILI incidence,2024-09-22,1,BE,quantile,0.55,79.08810769845263
2024-09-25,ILI incidence,2024-09-22,1,BE,quantile,0.5,78.11167214809487
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.25,71.92434572824976
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.4,77.38219933255336
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.99,142.1561780310204
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.95,125.5172567342666
2024-09-25,ILI incidence,2024-09-22,1,BE,quantile,0.05,66.3247065236401
2024-09-25,ILI incidence,2024-09-29,2,BE,quantile,0.99,108.74674891279494
2024-09-25,ILI incidence,2024-09-22,1,BE,quantile,0.025,64.57076789976348
2024-09-25,ILI incidence,2024-09-22,1,BE,quantile,0.45,77.12089085792157
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.35,75.64264906960338
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.975,132.40055577914094
2024-09-25,ILI incidence,2024-09-22,1,BE,quantile,0.1,68.82168489620906
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.8,93.73260384674789
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.85,96.90496478961451
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.15,67.28160185294631
2024-09-25,ILI incidence,2024-09-29,2,BE,quantile,0.025,55.2066600929361
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.9,116.8939715960375
2024-09-25,ILI incidence,2024-09-29,2,BE,quantile,0.975,102.53151032155004
2024-09-25,ILI incidence,2024-09-22,1,BE,quantile,0.75,83.56710045069617
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.2,69.79395321439785
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.025,57.76088696068441
2024-09-25,ILI incidence,2024-09-22,1,BE,quantile,0.4,76.19394783114546
2024-09-25,ILI incidence,2024-09-22,1,BE,quantile,0.35,75.17541617127739
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.1,64.68738010206815
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.05,61.02020103496178
2024-09-25,ILI incidence,2024-09-29,2,BE,quantile,0.01,51.90722347618602
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.85,112.046247634403
2024-09-25,ILI incidence,2024-09-29,2,BE,quantile,0.85,88.95150658981275
2024-09-25,ILI incidence,2024-09-22,1,BE,quantile,0.15,70.49241768377459
2024-09-25,ILI incidence,2024-09-22,1,BE,quantile,0.2,71.95827213587238
2024-09-25,ILI incidence,2024-09-22,1,BE,quantile,0.25,73.12612268412056
2024-09-25,ILI incidence,2024-09-22,1,BE,quantile,0.3,74.2275515612791
2024-09-25,ILI incidence,2024-09-29,2,BE,quantile,0.05,57.99020015867877
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.7,101.4459071575477
2024-09-25,ILI incidence,2024-09-29,2,BE,quantile,0.95,97.68007823320167
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.01,54.3141063465535
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.95,108.53862462867933
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.01,59.850610035258455
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.75,104.33467331412244
2024-09-25,ILI incidence,2024-09-29,2,BE,quantile,0.8,86.05131007216646
2024-09-25,ILI incidence,2024-09-29,2,BE,quantile,0.9,92.26812054802443
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.975,113.91280722697515
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.99,121.24140546933589
2024-09-25,ILI incidence,2024-09-29,2,BE,quantile,0.1,61.37463892373812
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.8,107.68230669713094
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.65,98.75715707938943
2024-09-25,ILI incidence,2024-09-29,2,BE,quantile,0.75,83.8146633194053
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.6,96.37541786034154
2024-09-25,ILI incidence,2024-09-29,2,BE,quantile,0.7,81.65417611656926
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.55,94.18280121031131
2024-09-25,ILI incidence,2024-10-06,3,BE,quantile,0.9,101.29262600489844
2024-09-25,ILI incidence,2024-09-29,2,BE,quantile,0.15,63.62661084344306
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.45,89.90376274189491
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.1,71.94762766265708
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.5,91.95126872682175
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.05,67.31719909199691
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.4,87.62335552590648
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.025,63.74812171561031
2024-09-25,ILI incidence,2024-09-29,2,BE,quantile,0.65,79.91459609159408
2024-09-25,ILI incidence,2024-09-29,2,BE,quantile,0.6,78.24318365864468
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.25,80.80502874559348
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.35,85.3576848879122
2024-09-25,ILI incidence,2024-09-29,2,BE,quantile,0.2,65.58774205448138
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.3,83.08398349459128
2024-09-25,ILI incidence,2024-09-29,2,BE,quantile,0.5,75.23675878572294
2024-09-25,ILI incidence,2024-09-29,2,BE,quantile,0.25,67.47912810044693
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.15,75.31201392061831
2024-09-25,ILI incidence,2024-10-13,4,BE,quantile,0.2,78.29107837160616
