origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.7,291.6451751538551
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.9,333.51691667344005
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.95,356.8513473683194
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.65,284.54303954375314
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.6,277.5820364138594
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.75,299.72602944702817
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.8,308.2282156398392
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.85,319.2729574141697
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.55,271.7042832511049
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.01,174.42873634424694
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.5,265.59591349981804
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.45,259.75289688660087
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.4,253.75304389383257
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.35,247.79342271814392
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.975,380.55295829935625
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.25,235.2004449055796
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.3,241.92208921074797
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.99,404.57261907599815
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.1,211.1678689575694
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.2,228.4270935536087
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.15,220.3094123531426
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.025,186.6920174220883
2025-08-20,ARI incidence,2025-08-17,1,BE,quantile,0.05,198.2700589996029
2025-08-20,ARI incidence,2025-08-17,1,BE,median,,265.59591349981804
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.99,287.57625036978914
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.95,269.90593340975914
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.975,278.114788626999
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.8,251.3010846947935
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.9,261.673332215113
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.75,247.4817033067755
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.85,255.9697697903868
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.6,237.99036415206666
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.7,244.14803037422155
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.65,241.08309686505999
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.55,235.06106019782231
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.45,230.10906162770024
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.3,222.0228621385446
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.5,232.52845229515754
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.4,227.65225226968383
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.05,200.72768399751294
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.25,218.89710051859188
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.2,215.79891118075173
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.35,224.91715551056853
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.1,207.50439608501995
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.15,212.03104628444223
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.01,188.19212430464535
2025-08-20,ARI incidence,2025-08-24,2,BE,quantile,0.025,195.44871712468338
2025-08-20,ARI incidence,2025-08-24,2,BE,median,,232.52845229515754
2025-08-20,ARI incidence,2025-08-31,3,BE,quantile,0.99,306.3832440450751
2025-08-20,ARI incidence,2025-08-31,3,BE,quantile,0.975,294.50512445941473
2025-08-20,ARI incidence,2025-08-31,3,BE,quantile,0.95,284.7444112274426
2025-08-20,ARI incidence,2025-08-31,3,BE,quantile,0.9,273.63212513015804
2025-08-20,ARI incidence,2025-08-31,3,BE,quantile,0.5,238.31000431692956
2025-08-20,ARI incidence,2025-08-31,3,BE,quantile,0.55,241.62381167867636
2025-08-20,ARI incidence,2025-08-31,3,BE,quantile,0.6,244.87399356331224
2025-08-20,ARI incidence,2025-08-31,3,BE,quantile,0.7,252.29165945112743
2025-08-20,ARI incidence,2025-08-31,3,BE,quantile,0.65,248.55848140986757
2025-08-20,ARI incidence,2025-08-31,3,BE,quantile,0.85,266.3137250242369
2025-08-20,ARI incidence,2025-08-31,3,BE,quantile,0.15,213.1505587950135
2025-08-20,ARI incidence,2025-08-31,3,BE,quantile,0.45,235.32085966885
2025-08-20,ARI incidence,2025-08-31,3,BE,quantile,0.75,256.70930574128715
2025-08-20,ARI incidence,2025-08-31,3,BE,quantile,0.8,260.9056908174762
2025-08-20,ARI incidence,2025-08-31,3,BE,quantile,0.1,207.7133128726351
2025-08-20,ARI incidence,2025-08-31,3,BE,quantile,0.05,199.6519041727088
