"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2025-12-24,"ARI incidence",2025-12-21,1,"BE","median","",1075.03743395558
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.01",713.038717148336
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.025",763.352254911519
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.05",812.055137323195
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.1",868.173578839086
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.15",905.646631189606
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.2",932.599961537098
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.25",958.420874578075
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.3",984.988438718275
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.35",1007.88371001625
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.4",1029.37712256868
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.45",1052.81340382029
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.5",1074.49758112542
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.55",1095.98897565341
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.6",1118.90797295867
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.65",1141.0719238295
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.7",1166.03517660837
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.75",1193.51071406574
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.8",1224.23614234401
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.85",1260.85496366225
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.9",1302.86057855231
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.95",1374.52674769045
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.975",1440.73801967429
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.99",1520.16002306241
2025-12-24,"ARI incidence",2025-12-28,2,"BE","median","",1040.20525631308
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.01",581.506447442271
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.025",640.680300302629
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.05",695.46835341824
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.1",763.994987456481
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.15",809.349544279656
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.2",851.672011489298
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.25",886.142426929629
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.3",919.822755681071
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.35",953.248631666298
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.4",981.486090464292
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.45",1008.83980550559
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.5",1040.18156217877
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.55",1068.88040882592
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.6",1099.89489447914
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.65",1128.97576036706
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.7",1162.70853091112
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.75",1199.90066311196
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.8",1243.37917937586
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.85",1296.29653529207
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.9",1359.41413672825
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.95",1457.78974751873
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.975",1550.17570647096
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.99",1652.39034424208
2025-12-24,"ARI incidence",2026-01-04,3,"BE","median","",1008.68278301398
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.01",458.596916001907
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.025",536.198964475837
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.05",598.165018645492
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.1",676.971360554125
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.15",734.076478341419
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.2",784.415803415568
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.25",824.333346433453
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.3",863.771758895625
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.35",900.768383959447
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.4",938.025588639143
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.45",971.299518831599
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.5",1003.60031861894
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.55",1036.81427489319
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.6",1074.03645653107
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.65",1114.65200639488
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.7",1157.87431300769
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.75",1207.03533548772
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.8",1257.11643591065
