"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2026-03-18,"ARI incidence",2026-03-15,1,"BG","median","",740.359676392845
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.01",374.250000206241
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.025",423.934509612787
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.05",465.172210325687
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.1",520.142110679187
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.15",560.811910389086
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.2",592.903619387879
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.25",619.778020152063
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.3",645.525792597483
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.35",670.723914785651
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.4",693.745616863242
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.45",716.651928328174
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.5",738.845478149549
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.55",762.093403193651
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.6",785.679614582604
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.65",811.223118112588
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.7",839.181216358328
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.75",868.744968267519
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.8",902.091372153102
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.85",941.522828480306
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.9",992.969200731967
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.95",1072.77012907233
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.975",1153.03360787853
2026-03-18,"ARI incidence",2026-03-15,1,"BG","quantile","0.99",1249.11188994363
2026-03-18,"ARI incidence",2026-03-22,2,"BG","median","",725.925634286214
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.01",270.772040966647
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.025",331.096520319568
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.05",375.797563688088
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.1",443.253459234695
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.15",489.194090155184
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.2",531.205357203038
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.25",566.645812020853
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.3",598.054300564389
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.35",629.571744563098
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.4",661.685906036251
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.45",691.824855308945
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.5",723.41759738921
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.55",755.05477030115
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.6",789.753643277503
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.65",823.043488786866
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.7",860.924332943635
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.75",900.638766735795
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.8",947.509294206808
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.85",1003.68440702086
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.9",1075.41817036573
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.95",1192.78097010939
2026-03-18,"ARI incidence",2026-03-22,2,"BG","quantile","0.975",1286.30236324966
