"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2025-10-15,"ILI incidence",2025-10-12,1,"BE","median","",124.439005666382
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.01",0
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.025",0
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.05",0
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.1",12.4819479146989
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.15",35.6778640346219
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.2",52.7237273332911
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.25",67.3598590520969
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.3",79.7102901891054
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.35",91.3931085560928
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.4",102.887713169504
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.45",113.752872415423
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.5",124.601956352062
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.55",135.055857776649
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.6",146.30726794564
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.65",158.965311796723
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.7",171.261344908996
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.75",183.888595768183
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.8",197.410430228557
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.85",213.749008289866
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.9",234.487794943142
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.95",267.618358932232
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.975",296.283894373989
2025-10-15,"ILI incidence",2025-10-12,1,"BE","quantile","0.99",327.951674769854
2025-10-15,"ILI incidence",2025-10-19,2,"BE","median","",126.28581637477
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.01",0
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.025",0
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.05",0
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.1",0
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.15",0
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.2",18.3940355118668
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.25",39.3645728904453
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.3",58.648737934399
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.35",77.7162309882442
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.4",95.5367246145192
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.45",112.302361642606
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.5",128.813394994628
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.55",144.477703234239
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.6",160.621199416788
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.65",177.231458032683
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.7",194.712581453475
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.75",214.219339151177
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.8",236.206626694485
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.85",260.764844019021
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.9",292.03928544726
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.95",342.360912673354
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.975",386.730231379983
2025-10-15,"ILI incidence",2025-10-19,2,"BE","quantile","0.99",430.586340579604
2025-10-15,"ILI incidence",2025-10-26,3,"BE","median","",137.218601332372
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.01",0
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.025",0
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.05",0
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.1",0
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.15",0
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.2",3.58969616606793
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.25",28.9552185280611
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.3",52.7697116860168
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.35",76.6131729973436
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.4",97.794087247323
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.45",119.183084758814
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.5",139.190291027946
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.55",160.371139530122
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.6",181.142947313582
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.65",200.569197800196
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.7",221.522069037209
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.75",245.23464793431
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.8",272.376111396088
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.85",304.719644071765
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.9",342.953934821824
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.95",400.573385126589
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.975",452.634576588875
2025-10-15,"ILI incidence",2025-10-26,3,"BE","quantile","0.99",505.566110464834
2025-10-15,"ILI incidence",2025-11-02,4,"BE","median","",148.955510243392
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.01",0
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.025",0
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.05",0
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.1",0
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.15",0
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.2",0
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.25",25.2679685608853
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.3",53.5120019281933
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.35",77.9734012363064
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.4",101.674957631854
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.45",127.549657932996
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.5",149.89096416378
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.55",172.934474573161
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.6",197.234407090607
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.65",221.70565282998
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.7",245.890550017657
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.75",272.367142146256
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.8",302.399793866263
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.85",337.522950537162
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.9",379.239178158094
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.95",443.121610433524
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.975",493.107161668812
2025-10-15,"ILI incidence",2025-11-02,4,"BE","quantile","0.99",559.468089291432
2025-10-15,"ILI incidence",2025-10-12,1,"CZ","median","",15.598322534866
2025-10-15,"ILI incidence",2025-10-12,1,"CZ","quantile","0.01",0
