origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.99,3368.679094558111
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.85,2669.760213643809
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.975,3156.3792484577425
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.8,2578.5649356811045
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.95,2985.8190227483296
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.6,2319.196399808384
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.9,2795.453127545028
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.75,2503.0091720613536
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.55,2265.345044203785
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.5,2212.0778314895897
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.7,2433.9084276309477
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.65,2375.9305858654825
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.45,2162.2653997853463
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.35,2062.453618045454
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.4,2110.6503778741726
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.3,2010.5581554393862
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.25,1956.8126425476573
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.2,1896.5422781756595
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.15,1831.3939712927522
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.01,1451.3787244178468
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.1,1753.9446943106063
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.05,1641.5934532720964
2026-03-11,ILI incidence,2026-03-08,1,AT,quantile,0.025,1549.8533384474365
2026-03-11,ILI incidence,2026-03-08,1,AT,median,,2212.0778314895897
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.85,3978.0010114961397
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.95,4987.496930763652
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.975,5658.715717104842
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.8,3722.702418834277
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.99,6568.640378376195
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.9,4363.312890771096
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.6,2979.231717806554
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.7,3325.072584336731
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.65,3135.8939518344814
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.55,2827.693488023063
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.75,3515.1602043581565
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.2,1968.493353322006
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.5,2695.958946963523
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.45,2577.459664704359
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.025,1302.5045383521667
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.35,2340.8432035116866
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.4,2453.802729790724
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.25,2097.911775959275
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.15,1821.5397967411018
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.1,1675.1795323898023
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.3,2219.8706897604634
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.05,1466.7399010626527
2026-03-11,ILI incidence,2026-03-15,2,AT,quantile,0.01,1144.2605789646161
2026-03-11,ILI incidence,2026-03-15,2,AT,median,,2695.958946963523
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.3,1755.1880188983691
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.45,1854.243981756883
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.25,1718.730597488387
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.5,1885.745047410829
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.35,1789.5827652431408
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.2,1679.0707320619217
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.15,1629.0917917979698
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.4,1821.662620594265
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.01,1362.8024827249783
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.1,1570.9110653807998
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.025,1431.1224166537224
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.05,1495.1935145521654
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.55,1921.3032932712185
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.6,1958.8150558611605
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.65,1994.9875342018568
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.7,2036.0883074748522
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.75,2080.316041250263
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.9,2269.1678725168354
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.8,2133.0385195247477
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.85,2193.824640028703
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.95,2386.304896427452
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.975,2510.996164536757
2026-03-11,ILI incidence,2026-03-22,3,AT,quantile,0.99,2639.516678108069
2026-03-11,ILI incidence,2026-03-22,3,AT,median,,1885.745047410829
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.01,1744.2032443823005
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.025,1834.0918505734137
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.05,1913.8093645935028
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.55,2437.65521384443
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.65,2527.136988660821
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.1,2008.357187177103
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.4,2316.963840714183
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.6,2481.230611870687
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.5,2397.481238102996
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.8,2698.3482417664795
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.15,2078.1209613344377
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.45,2356.3746929281538
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.9,2863.4845845431696
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.99,3308.5210310833763
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.35,2275.011870311701
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.3,2231.3990336054917
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.85,2770.5410226910294
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.2,2136.540564804783
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.25,2185.6193617134236
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.7,2578.4358283340935
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.75,2636.5833810990694
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.95,3021.4181919473676
2026-03-11,ILI incidence,2026-03-29,4,AT,quantile,0.975,3135.491952559588
2026-03-11,ILI incidence,2026-03-29,4,AT,median,,2397.481238102996
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.95,300.1295771078977
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.975,352.2117357017553
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.99,437.51333236288644
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.9,246.4627744046706
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.7,163.9938165036448
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.75,179.00294743314015
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.8,195.43402309796087
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.85,216.9760521537108
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.45,115.90957494819449
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.65,152.6914159231515
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.6,141.5184205481939
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.5,123.42201247755848
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.4,108.14636386605753
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.2,78.68965444354328
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.55,132.08682848818336
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.25,85.91418573085937
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.35,100.74506844082035
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.15,70.8238954438817
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.3,93.51049098619596
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.05,51.34783962079255
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.025,43.67500432199772
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.01,35.758536811508414
2026-03-11,ILI incidence,2026-03-08,1,BE,quantile,0.1,62.03728242988062
2026-03-11,ILI incidence,2026-03-08,1,BE,median,,123.42201247755848
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.3,117.83919726334204
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.35,123.62449753316974
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.4,129.8158230527246
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.45,136.10900411252933
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.5,142.52377983291302
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.99,322.03652167123823
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.975,283.7756409834885
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.1,90.65162572961246
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.55,148.7303620293598
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.6,155.02084137850227
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.9,223.10474242463144
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.65,162.88985631519114
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.95,253.73343958639012
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.01,63.2861418544626
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.025,71.91421326515936
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.05,79.82938733254451
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.15,98.95535403424722
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.2,106.1167335503836
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.25,112.1362909519134
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.85,204.28436922756552
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.8,191.11159651773755
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.7,171.02002223246143
2026-03-11,ILI incidence,2026-03-15,2,BE,quantile,0.75,180.25813761726116
2026-03-11,ILI incidence,2026-03-15,2,BE,median,,142.52377983291302
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.35,107.59639582144766
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.025,66.77952592232171
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.05,72.8235532143985
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.3,103.15091563273508
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.99,255.3247448757436
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.01,59.19821418126221
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.4,112.14402550373319
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.15,88.19007234861279
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.1,82.06869669004978
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.9,182.42802700474093
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.95,205.77496248649962
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.975,227.35804542489728
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.5,121.85621889388312
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.85,168.87770025547565
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.55,126.51907241638597
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.6,131.6619982274413
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.8,158.40278423569407
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.2,93.14933865762994
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.45,117.02907758049386
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.75,150.15609677686325
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.25,98.56290065195921
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.65,137.12189046995226
2026-03-11,ILI incidence,2026-03-22,3,BE,quantile,0.7,143.37704802576178
2026-03-11,ILI incidence,2026-03-22,3,BE,median,,121.85621889388312
2026-03-11,ILI incidence,2026-03-29,4,BE,quantile,0.45,101.40718204196963
2026-03-11,ILI incidence,2026-03-29,4,BE,quantile,0.5,114.723592847569
2026-03-11,ILI incidence,2026-03-29,4,BE,quantile,0.55,130.61244654600802
2026-03-11,ILI incidence,2026-03-29,4,BE,quantile,0.6,148.65574841535005
2026-03-11,ILI incidence,2026-03-29,4,BE,quantile,0.75,227.681713851893
2026-03-11,ILI incidence,2026-03-29,4,BE,quantile,0.975,848.225484570871
2026-03-11,ILI incidence,2026-03-29,4,BE,quantile,0.99,1232.4726389325976
2026-03-11,ILI incidence,2026-03-29,4,BE,quantile,0.025,16.441992954265597
2026-03-11,ILI incidence,2026-03-29,4,BE,quantile,0.05,22.549021143017015
2026-03-11,ILI incidence,2026-03-29,4,BE,quantile,0.1,31.947941385763574
2026-03-11,ILI incidence,2026-03-29,4,BE,quantile,0.15,41.08734598001729
2026-03-11,ILI incidence,2026-03-29,4,BE,quantile,0.2,50.26959809799395
2026-03-11,ILI incidence,2026-03-29,4,BE,quantile,0.25,58.90627196549242
2026-03-11,ILI incidence,2026-03-29,4,BE,quantile,0.3,68.41342084936555
2026-03-11,ILI incidence,2026-03-29,4,BE,quantile,0.35,78.42996901113494
2026-03-11,ILI incidence,2026-03-29,4,BE,quantile,0.4,89.79744191280545
2026-03-11,ILI incidence,2026-03-29,4,BE,quantile,0.65,168.89399626763475
2026-03-11,ILI incidence,2026-03-29,4,BE,quantile,0.7,195.33065688643293
