"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2026-08-19,"ILI incidence",2026-08-16,1,"BE","median","",40.1195035155947
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.01",0
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.025",0
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.05",0
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.1",0
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.15",0
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.2",0
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.25",0
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.3",0
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.35",5.56663023266499
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.4",17.7136373495311
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.45",28.9694268792411
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.5",40.4994267594825
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.55",52.4065620444037
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.6",64.3960774020479
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.65",77.1960453664095
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.7",89.5501630631351
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.75",105.014873132029
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.8",120.984019734937
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.85",139.637356893637
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.9",161.547304325236
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.95",196.065042309838
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.975",227.336171631271
2026-08-19,"ILI incidence",2026-08-16,1,"BE","quantile","0.99",261.864848784858
2026-08-19,"ILI incidence",2026-08-23,2,"BE","median","",67.1769765139618
2026-08-19,"ILI incidence",2026-08-23,2,"BE","quantile","0.01",0
2026-08-19,"ILI incidence",2026-08-23,2,"BE","quantile","0.025",0
2026-08-19,"ILI incidence",2026-08-23,2,"BE","quantile","0.05",0
2026-08-19,"ILI incidence",2026-08-23,2,"BE","quantile","0.1",0
2026-08-19,"ILI incidence",2026-08-23,2,"BE","quantile","0.15",0
2026-08-19,"ILI incidence",2026-08-23,2,"BE","quantile","0.2",0
2026-08-19,"ILI incidence",2026-08-23,2,"BE","quantile","0.25",0
2026-08-19,"ILI incidence",2026-08-23,2,"BE","quantile","0.3",0
2026-08-19,"ILI incidence",2026-08-23,2,"BE","quantile","0.35",13.2868190841985
